sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543432;312195;1147;806796;1584543432;312146;0.005274725;
1584543432;412809;1147;903135;1584543432;412761;0.005274725;
1584543432;515025;1148;10224;1584543432;514966;0.005274725;
1584543432;615203;1148;107051;1584543432;615162;0.004835165;
1584543432;715876;1148;207786;1584543432;715832;0.0167033;
1584543432;816592;1148;311356;1584543432;816548;0.005274725;
1584543432;938252;1148;428752;1584543432;937640;0.007472527;
1584543433;22655;1148;517233;1584543433;22606;0.005714286;
1584543433;123680;1148;614089;1584543433;123634;0.005714286;
1584543433;224148;1148;717332;1584543433;224103;0.005274725;
1584543433;329341;1148;821364;1584543433;329288;0.005274725;
1584543433;426212;1148;919925;1584543433;426168;0.005274725;
1584543433;527082;1149;21163;1584543433;527034;0.005274725;
1584543433;628831;1149;122905;1584543433;628782;0.005274725;
1584543433;728983;1149;219416;1584543433;728936;0.005274725;
1584543433;831067;1149;324901;1584543433;831007;0.005274725;
1584543433;931432;1149;422650;1584543433;931372;0.0167033;
1584543434;31687;1149;530327;1584543434;31645;0.005714286;
1584543434;132515;1149;622931;1584543434;132469;0.005714286;
1584543434;232870;1149;725330;1584543434;232823;0.005274725;
1584543434;340765;1149;831217;1584543434;340699;0.005714286;
1584543434;444817;1149;935280;1584543434;444771;0.007912087;
1584543434;546690;1150;44374;1584543434;546627;0.005714286;
1584543434;646958;1150;144842;1584543434;646912;0.005714286;
1584543434;748241;1150;241385;1584543434;748193;0.004835165;
1584543434;849221;1150;341094;1584543434;849171;0.005274725;
1584543434;950673;1150;450707;1584543434;950623;0.005714286;
1584543435;59877;1150;550257;1584543435;59797;0.01978022;
1584543435;153085;1150;650883;1584543435;153040;0.006153846;
1584543435;261102;1150;751512;1584543435;261036;0.005714286;
1584543435;362830;1150;853574;1584543435;362754;0.01494505;
1584543435;455439;1150;945874;1584543435;455390;0.01362637;
1584543435;556058;1151;56187;1584543435;556008;0.005714286;
1584543435;656058;1151;151940;1584543435;656010;0.005274725;
1584543435;758881;1151;256273;1584543435;758818;0.005714286;
1584543435;858385;1151;356360;1584543435;858336;0.007472527;
1584543435;959151;1151;454922;1584543435;959103;0.005274725;
1584543436;59853;1151;557470;1584543436;59807;0.005274725;
1584543436;160185;1151;660704;1584543436;160134;0.01142857;
1584543436;261069;1151;760731;1584543436;261010;0.005274725;
1584543436;362656;1151;864542;1584543436;362593;0.005274725;
1584543436;464998;1151;959250;1584543436;464950;0.005714286;
1584543436;566142;1152;60488;1584543436;566093;0.004835165;
1584543436;666470;1152;165762;1584543436;666428;0.005274725;
1584543436;767762;1152;265644;1584543436;767720;0.005714286;
1584543436;868606;1152;367337;1584543436;868565;0.005274725;
1584543436;974709;1152;465221;1584543436;974647;0.005714286;
1584543437;70585;1152;565162;1584543437;70539;0.004835165;
1584543437;173596;1152;668594;1584543437;173548;0.005274725;
1584543437;279796;1152;770293;1584543437;279739;0.01186813;
1584543437;376476;1152;866935;1584543437;376430;0.005274725;
1584543437;481203;1152;975645;1584543437;481147;0.007472527;
1584543437;584963;1153;75379;1584543437;584903;0.004835165;
1584543437;686226;1153;178190;1584543437;686159;0.005274725;
1584543437;785397;1153;280081;1584543437;785331;0.009230769;
1584543437;884742;1153;375102;1584543437;884695;0.005714286;
1584543437;990413;1153;480920;1584543437;990369;0.01230769;
1584543438;91519;1153;581923;1584543438;91482;0.005274725;
1584543438;194821;1153;689611;1584543438;194775;0.01274725;
1584543438;296310;1153;788552;1584543438;296264;0.005274725;
1584543438;398821;1153;891905;1584543438;397534;0.01318681;
1584543438;499041;1153;990819;1584543438;498996;0.005274725;
1584543438;599411;1154;92938;1584543438;599365;0.005274725;
1584543438;700467;1154;192300;1584543438;700422;0.005714286;
1584543438;801148;1154;291595;1584543438;801103;0.005274725;
1584543438;904025;1154;394455;1584543438;903960;0.005274725;
1584543439;4159;1154;494619;1584543439;4109;0.005714286;
1584543439;105344;1154;599249;1584543439;105296;0.005274725;
1584543439;210165;1154;702068;1584543439;210091;0.005274725;
1584543439;306872;1154;797340;1584543439;306826;0.005274725;
1584543439;407136;1154;902088;1584543439;407088;0.006153846;
1584543439;507908;1155;3251;1584543439;507862;0.005274725;
1584543439;609322;1155;108425;1584543439;609273;0.005714286;
1584543439;710458;1155;209258;1584543439;710414;0.004835165;
1584543439;811072;1155;303179;1584543439;811025;0.005274725;
1584543439;921376;1155;416003;1584543439;921307;0.006153846;
1584543440;14831;1155;511885;1584543440;14781;0.005714286;
1584543440;116597;1155;607073;1584543440;116549;0.007032967;
1584543440;224101;1155;714561;1584543440;224032;0.007032967;
1584543440;323615;1155;814066;1584543440;323558;0.01626374;
1584543440;423375;1155;913835;1584543440;423311;0.005274725;
1584543440;523077;1156;13577;1584543440;523015;0.006153846;
1584543440;627193;1156;117645;1584543440;620353;0.007032967;
1584543440;725291;1156;218783;1584543440;725229;0.006153846;
1584543440;827543;1156;317985;1584543440;827483;0.005274725;
1584543440;924900;1156;416480;1584543440;923370;0.005714286;
1584543441;26861;1156;522521;1584543441;26803;0.005274725;
1584543441;127150;1156;622896;1584543441;127100;0.01098901;
1584543441;228534;1156;724460;1584543441;228486;0.004835165;
1584543441;334098;1156;824493;1584543441;334041;0.005274725;
1584543441;432479;1156;922985;1584543441;432420;0.005274725;
1584543441;554390;1157;46952;1584543441;554331;0.007912087;
1584543441;652616;1157;143044;1584543441;652571;0.005274725;
1584543441;752875;1157;247579;1584543441;752827;0.005274725;
1584543441;854201;1157;348944;1584543441;854149;0.005274725;
1584543441;954708;1157;448423;1584543441;954664;0.004835165;
1584543442;55647;1157;549651;1584543442;55602;0.005274725;
1584543442;156730;1157;647122;1584543442;156691;0.005714286;
1584543442;258163;1157;750128;1584543442;258117;0.005274725;
1584543442;358888;1157;849291;1584543442;358846;0.005714286;
1584543442;460133;1157;950533;1584543442;460094;0.005274725;
1584543442;563138;1158;53584;1584543442;563076;0.01802198;
1584543442;663574;1158;154001;1584543442;663517;0.005274725;
1584543442;762990;1158;256193;1584543442;762946;0.005274725;
1584543442;863956;1158;354419;1584543442;863913;0.005714286;
1584543442;964487;1158;454903;1584543442;964446;0.005274725;
1584543443;66319;1158;558946;1584543443;66271;0.004835165;
1584543443;167358;1158;657901;1584543443;167317;0.005714286;
1584543443;272215;1158;765976;1584543443;272151;0.005714286;
1584543443;369583;1158;860234;1584543443;369546;0.005714286;
1584543443;475553;1158;967437;1584543443;475488;0.007472527;
1584543443;571730;1159;69659;1584543443;571682;0.005274725;
1584543443;676379;1159;166845;1584543443;676323;0.005274725;
1584543443;774365;1159;268873;1584543443;774312;0.01318681;
1584543443;874692;1159;369756;1584543443;874642;0.005274725;
1584543443;975558;1159;469757;1584543443;975512;0.005274725;
1584543444;76698;1159;571914;1584543444;76656;0.008351648;
1584543444;179980;1159;674825;1584543444;179920;0.005274725;
1584543444;280010;1159;774256;1584543444;279963;0.005274725;
